date;tavg;tmin;tmax;prcp
01/01/1990;11.6;6.6;17;0
02/01/1990;12.8;6.9;;0.5
03/01/1990;10.7;;12.9;4.1
04/01/1990;9.8;6.2;14.2;13
05/01/1990;10.3;;15.4;1
06/01/1990;10.3;;;0
07/01/1990;10;4.6;15.4;0
08/01/1990;9.8;4.9;15.6;0
09/01/1990;10;3.7;;0
10/01/1990;9.4;;15.5;0
11/01/1990;8.9;;14;0
12/01/1990;7.7;;13.9;0
13/01/1990;7.7;;;0
14/01/1990;9.3;1.8;15.3;0
15/01/1990;9.8;3.6;15.4;0
16/01/1990;10.8;;17.4;0
17/01/1990;11.7;;17.3;0
18/01/1990;10.8;6;;0.3
19/01/1990;10;5.1;14.7;2
20/01/1990;9.4;2.9;;0
21/01/1990;8.5;1.7;16.3;0
22/01/1990;8.5;;16.4;0
23/01/1990;8.6;1.1;14.9;0
24/01/1990;8.6;2.5;;0
25/01/1990;11.6;5.9;;0
26/01/1990;10.2;4.7;16.5;0
27/01/1990;11.3;3.4;17.3;0
28/01/1990;10.2;;;0.3
29/01/1990;9.1;4.1;13.9;15
30/01/1990;10;5.3;14.5;0
31/01/1990;10.6;;16.5;
01/02/1990;11.4;;15.9;8.9
02/02/1990;10.1;;16.4;0
03/02/1990;10.8;4.9;17.9;0
04/02/1990;11.2;;;0
05/02/1990;13.1;6.2;20.9;0
06/02/1990;14.6;;22.9;0
07/02/1990;14.5;;23.2;0
08/02/1990;13.6;;20.1;0
09/02/1990;13.3;;;0
10/02/1990;11.3;6.3;17.9;0
11/02/1990;13;10.4;17.7;0
12/02/1990;12.1;;;0
13/02/1990;10.5;6.3;16.9;0
14/02/1990;10.6;5.4;16.8;0
15/02/1990;10.6;;16.6;0
16/02/1990;10.6;;16.2;0
17/02/1990;10.2;5.1;16.5;0
18/02/1990;10.5;4.3;17.5;0
19/02/1990;13.3;;21.1;0
20/02/1990;14.2;7.5;22.4;0
21/02/1990;13.8;;21.3;0
22/02/1990;16.7;7.6;26.4;0
23/02/1990;15.1;;25.4;0
24/02/1990;13.5;5.8;23.3;0
25/02/1990;12.8;6.9;;0
26/02/1990;12.3;6.5;17.5;0
27/02/1990;13;5.3;18.3;0
28/02/1990;12.7;8.7;18.7;0
01/03/1990;12.8;;18.5;0
02/03/1990;12.8;7.1;17.3;0
03/03/1990;12.5;;;0
04/03/1990;13.2;7.9;;0
05/03/1990;13.5;5.4;18.4;0
06/03/1990;15;7.4;;0
07/03/1990;14.7;8.1;;0
08/03/1990;12.7;7.7;15.5;4.1
09/03/1990;12.1;;14.8;14
10/03/1990;13.3;;;3
11/03/1990;14.1;8.7;19.5;0
12/03/1990;13.7;7.8;19.7;0
13/03/1990;12.8;6.2;20.2;0
14/03/1990;14.7;9.7;;0
15/03/1990;14.2;;21.9;0
16/03/1990;16.3;7.1;25.7;0
17/03/1990;16.3;8.1;;0
18/03/1990;16.7;7.3;27.4;0
19/03/1990;16.4;8.5;27;0
20/03/1990;17;10.7;25.9;0
21/03/1990;18.6;9.9;27.9;0
22/03/1990;16.8;7.1;;0
23/03/1990;16.6;8.2;;
24/03/1990;13.5;;20.3;0
25/03/1990;13.8;7.9;20.2;0
26/03/1990;14.7;8.1;20.9;0
27/03/1990;15.2;;21.9;0
28/03/1990;14.5;10.9;21.1;0
29/03/1990;13.4;4.6;20.4;0
30/03/1990;14.1;9.5;19.1;0
31/03/1990;17.7;12.9;22.4;8.9
01/04/1990;15.2;10.5;21.5;4.1
02/04/1990;14;7.3;;0
03/04/1990;12.6;6.7;17.3;0
04/04/1990;13.2;;;0
05/04/1990;14.7;;20.1;0
06/04/1990;13.1;;17.3;6.1
07/04/1990;12.9;;19.3;4.1
08/04/1990;11.9;;20.3;3
09/04/1990;11.7;;16.4;4.1
10/04/1990;12.6;9.1;17.4;3
11/04/1990;11.9;5.2;17.2;0
12/04/1990;12.6;3.9;19.9;0
13/04/1990;13.6;8.9;;0
14/04/1990;12.5;;16;
15/04/1990;13.2;6.4;;0
16/04/1990;14.2;6.1;20.9;0
17/04/1990;14.7;;21.3;0
18/04/1990;14.8;;;0
19/04/1990;16.5;11.7;23.2;0
